,0
968,2273455.8423419115
969,2198820.6794957626
970,2150452.9958514622
971,2162430.9396573906
972,2160967.570201112
973,2155139.986950777
974,2118898.366396076
975,2096490.5059857462
976,2106218.584015968
977,2185006.669995747
978,2174548.5963213076
979,2184081.363363966
980,2216425.7186260554
981,2236042.884711337
982,2215250.324916141
983,2235271.771721213
984,2248034.0961625716
985,2244425.697725473
986,2237669.727106325
987,2218552.7804661216
988,2180114.3104579523
989,2203680.3802413587
990,2188750.1704319445
991,2181667.9520931365
992,2207026.908705614
993,2206510.38750916
994,2186340.525178473
995,2153835.3233945533
996,2174045.9220684394
997,2214146.950945552
998,2199576.811645156
999,2199544.932960681
1000,2183181.793267698
1001,2175965.47038741
1002,2165499.8378611137
1003,2167416.425329882
1004,2135360.3629382076
1005,2186875.3338451884
1006,2244526.8557966105
1007,2231979.466134637
1008,2219452.878707946
1009,2208294.3610436
1010,2199209.7577455887
1011,2194639.870166826
1012,2216541.920506361
1013,2219072.8924356927
1014,2201309.901253477
1015,2180474.5341620343
1016,2208235.9619999644
1017,2216192.171702196
1018,2218804.6771733467
1019,2233694.2534618867
1020,2242066.954088017
1021,2162388.128666939
1022,2157176.9176358245
1023,2168093.3345894325
1024,2195100.603624662
1025,2182893.7239989606
1026,2164794.5481023043
1027,2184472.866068161
1028,2155383.674373247
1029,2182954.075879266
1030,2183169.2780841296
1031,2188657.149465734
1032,2202218.3909579613
1033,2207925.6889171507
1034,2197526.607788468
1035,2189705.025964227
1036,2190081.7859306503
1037,2182063.1667945264
1038,2193573.4033550117
1039,2169093.1692995243
1040,2161111.8688946413
1041,2179812.8303312813
1042,2141118.2096219184
1043,2165399.6634564195
1044,2179860.652238988
1045,2178798.3472840614
1046,2161116.3923056694
1047,2148280.176598276
1048,2179434.423901609
1049,2174295.214045654
1050,2183780.757000179
1051,2188717.8016237994
1052,2201595.271566365
1053,2186703.0556671442
1054,2186047.615168213
1055,2206582.166977886
1056,2216616.5344599285
1057,2229331.248450617
1058,2230752.8717515334
1059,2234554.8737021587
1060,2229564.9838017053
1061,2256329.3437510855
1062,2248521.1711495463
1063,2255322.3367907833
1064,2237211.5517903636
1065,2220233.7841575206
1066,2205443.393088661
1067,2206418.539646254
1068,2198657.420141777
1069,2195656.5202405443
1070,2182784.6074547153
1071,2191616.6048945626
1072,2200538.2798120705
1073,2227736.19655278
1074,2243648.7493670923
1075,2231736.4635924897
1076,2181958.0072986316
1077,2199526.2134036478
1078,2142538.012099517
1079,2131890.099617827
1080,2147108.2167391693
1081,2164459.661929878
1082,2181627.752423716
1083,2177418.2763627283
1084,2183585.7759474562
1085,2201548.11046656
1086,2230681.843984273
1087,2246921.2226389386
1088,2220845.161138528
1089,2247827.478675428
1090,2269737.4050225383
1091,2282247.5830514627
1092,2285373.3667570436
1093,2296901.2395126
1094,2286708.3330338877
1095,2280468.179857591
1096,2281922.24980806
1097,2287846.0149461376
1098,2257628.603814319
1099,2259478.3751516496
1100,2271371.2952162353
1101,2290121.539873544
1102,2292315.40158436
1103,2282543.612507514
1104,2283239.3944003754
1105,2283243.9946261765
1106,2287375.4438210293
1107,2274487.996016508
1108,2282903.668739541
1109,2250892.6014196244
1110,2267290.9423205294
1111,2253747.7417571796
1112,2229416.6150994576
1113,2224432.590991318
1114,2246750.413353627
1115,2247966.201366855
1116,2234443.246762466
1117,2211815.3876824984
1118,2243180.4668345964
1119,2225597.27032983
1120,2239112.9077371834
1121,2250475.3408480473
1122,2215524.3079072023
1123,2173984.271342347
1124,2176571.1802485934
1125,2138210.694322378
1126,2150824.379407889
1127,2156448.308655112
1128,2158222.2675073887
1129,2154795.1889871974
1130,2182215.3406455643
1131,2193165.8237376614
1132,2200925.457711898
1133,2216262.09957065
1134,2220950.415740725
1135,2250244.6263116375
1136,2242987.7890110435
1137,2269998.495084535
1138,2268844.7615107843
1139,2273233.7955175014
1140,2273283.659948513
1141,2280120.530695581
1142,2288876.298209605
1143,2297172.998884662
1144,2300111.2071306785
1145,2304121.5676790504
1146,2327040.6841455856
1147,2332263.466362057
1148,2336933.1918790806
1149,2339359.0088942447
1150,2343245.464219301
1151,2336815.789298504
1152,2351156.51098653
1153,2353548.509965044
1154,2351361.5907562627
1155,2335132.5651059616
1156,2337646.247016024
1157,2330778.8531090473
1158,2312752.4303717175
1159,2325690.969067065
1160,2362847.6055850782
1161,2362745.615133282
1162,2337655.811832808
1163,2335859.779361205
1164,2332007.4810332875
1165,2321431.102100884
1166,2312017.9363288186
1167,2320973.103260588
1168,2329152.4291329924
1169,2320754.0512612956
1170,2290715.1726813824
1171,2315898.3305594726
1172,2310864.381643833
1173,2302311.9630672075
1174,2308627.8941749055
1175,2333482.014389171
1176,2330938.230372475
1177,2331021.5685770605
1178,2353352.2586115743
1179,2351342.9129541772
1180,2329206.2144008735
1181,2334968.434161565
1182,2331317.4390065856
1183,2319174.4121439387
1184,2331719.739698182
1185,2360259.6556161777
1186,2369663.483115883
1187,2347244.1569802733
1188,2379958.7387314104
1189,2369915.203041256
1190,2351515.5527137457
1191,2358228.6161036277
1192,2346089.9840802737
1193,2321388.7836970626
1194,2335992.4936871314
1195,2326416.7365736063
1196,2295789.0848983345
1197,2300191.6786105777
1198,2301838.085099876
1199,2273222.1682456336
1200,2277765.3897383334
1201,2302539.518208933
1202,2321477.006569363
1203,2334819.342037977
1204,2326994.8936461285
1205,2346590.424637712
1206,2368161.6737851654
1207,2379631.8083790476
1208,2398185.191950652
1209,2400318.649965978
1210,2402596.0930040455
1211,2417784.047216381
1212,2411612.6195860626
1213,2414012.018357919
1214,2407289.1740416097
1215,2405680.511990561
1216,2402083.9838512605
1217,2394716.3035188005
1218,2414027.800378384
1219,2409634.097099967
1220,2426219.3225814826
1221,2397158.3458429943
1222,2425123.2993228487
1223,2419759.058010149
1224,2413456.677100095
1225,2416995.873682325
1226,2429985.6571361497
1227,2434075.42594239
1228,2431048.772462484
1229,2439219.4230639
1230,2429767.589379964
1231,2450853.902275162
1232,2454946.9472322594
1233,2458494.5031317165
1234,2465556.6391713815
1235,2481552.654037098
1236,2490542.9342614654
1237,2480158.127453037
1238,2499684.4477278073
1239,2490657.7556079603
1240,2487920.72330505
1241,2499207.1564051146
1242,2515391.7958506458
1243,2511767.6846388546
1244,2478729.299255338
1245,2467556.5985361966
1246,2448512.1772437897
1247,2465252.371486284
1248,2445801.9386660834
1249,2478188.7775001973
1250,2477163.4320583814
1251,2479893.2314749607
1252,2512122.1769640837
1253,2518196.9140745495
1254,2531230.535758272
1255,2530864.489854456
1256,2514746.735857997
1257,2533567.177609868
1258,2508096.366107839
1259,2491752.97562788
1260,2494947.595476729
1261,2505061.8476017737
1262,2497336.9631413785
1263,2481885.8494157307
1264,2465358.7445889013
1265,2447112.8928101966
1266,2467348.335679198
1267,2490557.2188850413
1268,2485988.397940645
1269,2469175.128600273
1270,2487054.021958143
1271,2492609.425881982
1272,2480468.1129314997
1273,2431623.5632964014
1274,2443936.0443781586
1275,2390017.118712164
1276,2373121.058418389
1277,2381082.8571423115
1278,2346415.870227324
1279,2320406.114550364
1280,2330947.522155267
1281,2318390.3633442535
1282,2336258.5091641205
1283,2360091.059716074
1284,2373608.076894059
